time_stamp,x_acc,y_acc,z_acc,x_acc_bias,y_acc_bias,z_acc_bias,pitch,roll,yaw,pitch_std,roll_std,yaw_std,x_gyro,y_gyro,z_gyro,x_gyro_bias,y_gyro_bias,z_gyro_bias,x_mag,y_mag,z_mag,sensor_time_counter,operation_mode,linear_acceleration_enabled,turn_switch_enabled
1752570362.842682,0.115544,0.240914,-9.936569,0.000000,0.000000,0.000000,-0.206164,-1.532827,-2.600641,0.000000,0.000000,0.000000,0.764069,1.083208,1.757517,0.169895,0.039186,-0.153520,-1.122862,0.634981,-4.447316,5948140,3,1,0
1752570362.852682,0.334259,0.161146,-9.955492,0.000000,0.000000,0.000000,-0.191203,-1.527499,-2.582411,0.000000,0.000000,0.000000,0.637113,1.855996,1.652110,0.169895,0.039186,-0.153520,-1.115507,0.605561,-4.442412,5948150,3,1,0
1752570362.862682,0.796857,0.140885,-9.928881,0.000000,0.000000,0.000000,-0.170225,-1.523427,-2.565117,0.000000,0.000000,0.000000,0.559732,2.141794,1.675161,0.169895,0.039186,-0.153520,-1.083635,0.563882,-4.437509,5948160,3,1,0
1752570362.872682,1.055833,0.164323,-9.935366,0.000000,0.000000,0.000000,-0.149954,-1.519339,-2.546470,0.000000,0.000000,0.000000,0.653576,1.746224,1.857888,0.169895,0.039186,-0.153520,-1.039505,0.517301,-4.432606,5948170,3,1,0
1752570362.882682,0.777226,0.119283,-9.953764,0.000000,0.000000,0.000000,-0.135772,-1.513743,-2.526008,0.000000,0.000000,0.000000,0.800493,1.101694,1.981053,0.169895,0.039186,-0.153520,-0.980665,0.478074,-4.425251,5948180,3,1,0
1752570362.892682,0.279037,0.146077,-9.948298,0.000000,0.000000,0.000000,-0.125911,-1.507008,-2.504392,0.000000,0.000000,0.000000,0.873795,1.055178,2.088354,0.169895,0.039186,-0.153520,-0.904663,0.451106,-4.420348,5948190,3,1,0
1752570362.902682,0.173475,0.270639,-9.926742,0.000000,0.000000,0.000000,-0.112635,-1.500142,-2.482070,0.000000,0.000000,0.000000,0.811813,1.626657,2.070136,0.169895,0.039186,-0.153520,-0.823759,0.424138,-4.415444,5948200,3,1,0
1752570362.912682,0.416244,0.226900,-9.914079,0.000000,0.000000,0.000000,-0.093062,-1.494371,-2.461419,0.000000,0.000000,0.000000,0.696402,2.196581,1.847028,0.169894,0.039178,-0.153521,-0.764919,0.397169,-4.410541,5948210,3,1,0
1752570362.922682,0.745884,0.074003,-9.994904,0.000000,0.000000,0.000000,-0.069563,-1.489547,-2.442272,0.000000,0.000000,0.000000,0.619843,2.268798,1.871946,0.169894,0.039178,-0.153521,-0.742854,0.377556,-4.410541,5948220,3,1,0
1752570362.932682,0.864370,-0.008354,-10.055452,0.000000,0.000000,0.000000,-0.048981,-1.485013,-2.421301,0.000000,0.000000,0.000000,0.673882,1.702353,2.111754,0.169894,0.039178,-0.153521,-0.767370,0.382459,-4.408089,5948230,3,1,0
1752570362.942682,0.601763,0.072298,-9.925972,0.000000,0.000000,0.000000,-0.035240,-1.479399,-2.398119,0.000000,0.000000,0.000000,0.768780,1.109551,2.274875,0.169894,0.039178,-0.153521,-0.801694,0.387363,-4.405638,5948240,3,1,0
1752570362.952682,0.296190,0.257719,-9.734016,0.000000,0.000000,0.000000,-0.024409,-1.473391,-2.373532,0.000000,0.000000,0.000000,0.749706,1.204430,2.334147,0.169894,0.039178,-0.153521,-0.826210,0.392266,-4.408089,5948250,3,1,0
1752570362.962682,0.268653,0.229985,-9.637850,0.000000,0.000000,0.000000,-0.009485,-1.468071,-2.349909,0.000000,0.000000,0.000000,0.612960,1.777121,2.095341,0.169894,0.039178,-0.153521,-0.848275,0.426589,-4.410541,5948260,3,1,0
1752570362.972682,0.611922,-0.034438,-9.778494,0.000000,0.000000,0.000000,0.011383,-1.464909,-2.329249,0.000000,0.000000,0.000000,0.367377,2.294742,1.921380,0.169894,0.039178,-0.153521,-0.902212,0.485429,-4.422799,5948270,3,1,0
1752570362.982682,1.095922,-0.159759,-9.916760,0.000000,0.000000,0.000000,0.035139,-1.463620,-2.308749,0.000000,0.000000,0.000000,0.300732,2.211838,2.014191,0.169894,0.039178,-0.153521,-0.997827,0.509946,-4.432606,5948280,3,1,0
1752570362.992682,1.103272,-0.005692,-9.828832,0.000000,0.000000,0.000000,0.054118,-1.461638,-2.287086,0.000000,0.000000,0.000000,0.442099,1.501935,2.111418,0.169894,0.039178,-0.153521,-1.066473,0.507494,-4.435058,5948290,3,1,0
1752570363.002682,0.659662,0.177906,-9.736300,0.000000,0.000000,0.000000,0.066271,-1.458416,-2.263959,0.000000,0.000000,0.000000,0.519017,1.028595,2.271336,0.169894,0.039178,-0.153521,-1.088538,0.492784,-4.439961,5948300,3,1,0
1752570363.012682,0.267767,0.092518,-9.668554,0.000000,0.000000,0.000000,0.076970,-1.454780,-2.239625,0.000000,0.000000,0.000000,0.484483,1.241607,2.267246,0.169893,0.039170,-0.153522,-1.073828,0.470719,-4.444864,5948310,3,1,0
1752570363.022682,0.307106,-0.097984,-9.600116,0.000000,0.000000,0.000000,0.092734,-1.452637,-2.216650,0.000000,0.000000,0.000000,0.252570,1.850387,2.059076,0.169893,0.039170,-0.153522,-1.051763,0.463364,-4.454671,5948320,3,1,0
1752570363.032682,0.767427,-0.082342,-9.551336,0.000000,0.000000,0.000000,0.113718,-1.452690,-2.195720,0.000000,0.000000,0.000000,0.111739,2.177979,1.970276,0.169893,0.039170,-0.153522,-1.059118,0.497687,-4.469381,5948330,3,1,0
1752570363.042682,1.151798,0.013009,-9.558189,0.000000,0.000000,0.000000,0.134902,-1.453189,-2.175065,0.000000,0.000000,0.000000,0.170677,1.861616,1.961160,0.169893,0.039170,-0.153522,-1.081183,0.541817,-4.481639,5948340,3,1,0
1752570363.052682,0.991580,-0.161914,-9.475585,0.000000,0.000000,0.000000,0.149961,-1.452459,-2.154330,0.000000,0.000000,0.000000,0.257455,1.098800,1.967138,0.169893,0.039170,-0.153522,-1.093441,0.554076,-4.493897,5948350,3,1,0
